epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,18.4749,0.3950,0.5678,6.5149,0.2156,1992.5068,0,0.0001
2,6.8927,0.5920,0.6123,4.1115,0.2149,21.7612,0,0.0001
3,5.9531,0.6589,0.6526,3.5197,0.2153,20.5635,0,0.0001
4,5.8033,0.6644,0.6430,3.3656,0.2145,20.1633,0,0.0001
5,5.8112,0.6556,0.6331,3.3517,0.2153,19.7086,0,0.0001
